Job Title,Company Name,Location,Description
Data Analytics Intern,Refonte Learning,EMEA,"Data Analytics Intern (Remote – Europe, Middle East, and Africa)Company: Refonte (Refonte AI) Are you passionate about data and ready to turn insights into action? Join Refonte AI, a globally recognized leader in IT and Ed-tech, as a Data Analytics Intern and embark on a journey to build hands-on expertise in data analytics. This role is perfect for individuals eager to dive into real-world projects while collaborating with a diverse international team. 🌐 Learn More: https://refontelearning.com/ About Refonte AIRefonte AI is a renowned global IT and Ed-tech company dedicated to providing high-quality digital solutions in fields like data science, data analytics, digital marketing, UI/UX design, web development, and app development. Our mission is to drive innovation, uphold excellence, and empower emerging talent through immersive, impactful projects. Why Join Refonte AI?Refonte AI’s Global Training & Internship Program (RIGTIP) offers hands-on experience in a flexible, remote setting. As a Data Analytics Intern, you’ll work with a global team across Europe, the Middle East, and Africa, gaining an international perspective on data analytics and boosting your career with invaluable experience. What’s in It for You?Real-World Learning: Participate in real projects that drive impactful results.Skill Development: Advance your expertise in data tools and techniques, including Python, SQL, Excel, and Tableau.Global Networking: Collaborate with talented professionals and like-minded interns worldwide.Mentorship: Receive guidance and insights from seasoned data experts.Remote Flexibility: Work remotely from anywhere in EMEA, balancing your learning with other commitments. Internship OverviewOur internship program is designed to take you from foundational knowledge to advanced skills in data analytics. Through a wide array of projects, you’ll gain practical experience and make data-driven decisions. Projects You’ll Work OnExcel Data Visualization: Visualize and interpret complex datasets, such as hospital data, in Excel.Stock Market Analysis: Analyze live stock price data to understand market trends and company performance.Risk Analytics: Use Exploratory Data Analysis (EDA) techniques to assess and minimize lending risk in finance.Bike-Sharing System Insights: Explore patterns in bike-sharing data to inform operational improvements.Sports Analytics: Work with IPL cricket tournament data to uncover key performance insights.Global Film Release Strategy: Contribute to data-driven planning for a 2024 international movie release. Key Roles & ResponsibilitiesAs a Data Analytics Intern, you will:Collaborate with data science experts to collect, clean, and prepare datasets for analysis, sharpening your data preprocessing skills.Apply machine learning and data mining techniques to identify insights that support data-driven decisions.Leverage Python for Exploratory Data Analysis (EDA), with a focus on risk assessment in banking and financial services.Conduct scientific tests, optimize model performance, and work with no-code databases and data mining tools.Develop and implement machine learning pipelines for diverse industries, including commerce and finance.Create compelling visualizations with Tableau to communicate findings effectively.Prepare reports and presentations summarizing insights, results, and actionable recommendations. QualificationsEnrolled in or recently completed a degree program in Data Science, Computer Science, Business Analytics, or a related field.Strong analytical skills and attention to detail.Proficiency with data tools (Python, SQL, Excel) and visualization tools (Tableau, Power BI).Excellent communication skills for articulating complex ideas.Ability to work independently and collaboratively in a remote, multicultural team. 🌐 Learn More: https://refontelearning.com/ Additional InformationThis is an unpaid internship within our Data Analytics Training & Internship Program under RGTIP. Our team will provide application and onboarding details after you apply. LocationRemote (Europe, Middle East, and Africa-based applicants preferred) Thank you for considering Refonte AI for your professional growth in data analytics. We look forward to welcoming you to our dynamic team!"
Data Analytics Internship,Refonte Learning AI,EMEA,"Refonte is a leading IT corporation globally recognized for its expertise in providing top-notch IT and Ed-tech services. Specializing in digital marketing, data science, data analytics, UI-UX design, web development, and app development, we are dedicated to innovation, excellence, and empowering talents worldwide. Learn More: https://refontelearning.ai/ Job Summary: Refonte Technology is offering a chance for eager individuals seeking to master Data Analytics from basic to advanced levels, all while engaging in real-world projects across the globe. Our program is structured to provide a flexible work setting, allowing participants to collaborate with a diverse global team spanning Oceania, Asia, Europe, and the Americas. Projects You Will Work On: Excel project: Visualize hospital dataset using ExcelStatistical project: Analyze live stock price data to study company stock behavior.EDA case study: Apply EDA techniques in risk analytics for minimizing lending risk.Bike-sharing system analysis: Examine bike-sharing data and usage patterns.IPL data analysis: Analyze data from the Indian Premier League cricket tournament.Data findings communication: Present summarized results and key insights from projects.Global movie release: Plan to release a movie globally in 2024 by RSVP Movies. Roles & Responsibilities:- Collaborate with our esteemed data science experts to collect, clean, and analyze extensive datasets, honing skills in data preprocessing and visualization.- Utilize machine learning and data mining techniques to extract insights from large datasets, including Excel interface structure identification. ·- Apply Python programming skills for Exploratory Data Analysis (EDA) in real business scenarios, focusing on risk analytics in banking and financial services. ·- Design scientific tests and optimize model performance using the latest modeling technologies like no-code databases and data mining.- Collaborate with a team of experts to build machine learning pipelines for diverse use cases in commerce, financial markets, and procurement.- Work with internal stakeholders to explore and understand business data, formulate hypotheses, and measure the impact of strategies using techniques like T-tests.-Solve specific challenges and develop innovative solutions by adapting modeling technologies like bike share systems.-Learn and apply complex analytical techniques using tools like Tableau.- Prepare reports and presentations to effectively communicate data analysis processes and results. Qualifications:- Currently pursuing any degree showcasing a strong commitment to continuous learning and professional growth.- Exceptional written and verbal communication skills, vital for effective collaboration and articulation of complex ideas.- Demonstrated ability to work both independently and as part of a cohesive team, highlighting adaptability and strong teamwork capabilities. Note: This position is part of our unpaid “Data Analytics Training and Intern” under Refonte Technology. Upon application, our team will contact you to proceed with the application details and joining process. Location:Remote: Europe, Middle East and Africa Learn More: https://refontelearning.ai/ Thank you for considering Refonte Technology for your professional development in the field of data analytics. We look forward to welcoming you to our dynamic team."
AI & Data Science Internship,Refonte Learning,EMEA,"Refonte Infini is a leading IT corporation globally recognized for its expertise in providing top-notch IT and Ed-tech services. Specializing in Artificial intelligence (AI), digital marketing, data science, data analytics, UI-UX design, web development, and app development, we are dedicated to innovation, excellence, and empowering talents worldwide. Job Title: AI, Data Science, DevOps, and Cloud Intern Learn More: https://refontelearning.com/ Benefits:This internship offers an exciting opportunity to gain practical experience in AI, Data Science, DevOps, and Cloud technologies, working on impactful projects and contributing to the development of innovative solutions. If you are enthusiastic about technology and eager to learn, we encourage you to apply and join our team. Job Summary: Refonte Learning is seeking enthusiastic individuals for our prestigious AI & Data Science Study and Internship Program. This intensive initiative offers a unique opportunity to collaborate closely with our seasoned AI & data science team on diverse and impactful projects. Refonte Learning is seeking enthusiastic individuals who are looking to learn AI & Data Science from beginning to advanced level while also working on live projects globally. RIGTIP (Refonte Infini Global Training & Internship Program) is designed as a manner that offers you to work in a flexible work environment but also offers working with people in a global team from Oceania, Asia, Europe and American continents. Job Description:We are excited to offer an internship opportunity for individuals passionate about the convergence of AI, Data Science, DevOps, and Cloud technologies. As an AI, Data Science, DevOps, and Cloud Intern, you will have the unique opportunity to gain hands-on experience in these dynamic and interconnected fields, working on innovative projects and collaborating with experienced professionals. Responsibilities:Collaborate with cross-functional teams to develop, deploy, and maintain AI-driven solutions.Assist in collecting, cleaning, and analyzing data from various sources to derive actionable insights.Contribute to the design and implementation of scalable data pipelines for model training and deployment.Support the integration of machine learning models into production systems using DevOps best practices.Participate in designing and optimizing CI/CD pipelines for continuous integration, testing, and deployment of AI applications on cloud platforms.Assist in infrastructure provisioning, configuration, and monitoring using cloud services such as AWS, Azure, or Google Cloud.Work closely with data scientists and engineers to understand business requirements and translate them into technical solutions.Research and experiment with emerging technologies and tools in AI, Data Science, DevOps, and Cloud domains.Collaborate on documentation efforts to ensure knowledge sharing and best practices across the team. Projects You Will Work On:- Multi Cloud AI Infrastructure Configuration, Automation and Deployment- Full Stack AI DevOps & Development- Generative AI model, Large Language Models and Foundations models to transform input to output.NB: Input can be text, images, audios or videos; Output can also be text, images, audios or videos- Finance Fraud Detection: Develop advanced fraud detection algorithms leveraging financial data analysis.- Recommender System: Contribute to personalized recommendation systems, enhancing user experiences across platforms.- Sentiment Analysis: Explore sentiment analysis to extract insights from textual data, shaping user sentiment understanding.- Chatbots: Engage in intelligent chatbot development, revolutionizing customer interactions and support.- Image/Audio Video Classification: Push boundaries with multimedia technology by working on image and audio video classification projects.- Text Analysis: Uncover hidden patterns in textual data through sophisticated text analysis techniques. Roles & Responsibilities:- Collaborate with our esteemed AI & data science experts to collect, clean, and analyze extensive datasets, honing skills in data preprocessing and visualization.- Contribute to the development of predictive models and algorithms, employing cutting-edge machine learning techniques to solve real-world challenges.- Work closely with team members to design, implement, and evaluate experiments, fostering a collaborative and innovative environment.- Stay updated with the latest industry trends and best practices in data science, applying newfound knowledge to enhance project outcomes.Qualifications:- Currently pursuing any degree showcasing a strong commitment to continuous learning and professional growth.- Exceptional written and verbal communication skills, vital for effective collaboration and articulation of complex ideas.- Demonstrated ability to work both independently and as part of a cohesive team, highlighting adaptability and strong teamwork capabilities. Benefits: This internship offers an exciting opportunity to gain practical experience in AI, Data Science, DevOps, and Cloud technologies, working on impactful projects and contributing to the development of innovative solutions. If you are enthusiastic about technology and eager to learn, we encourage you to apply and join our team. Learn More: https://refontelearning.com/ Note:This position is part of our unpaid AI & Data Science Study and Internship Program. Upon application, our team will contact you to proceed with the application details and joining process. Location:Remote: EMEA Thank you for considering Refonte Infini Private Limited for your professional development in the field of data science. We look forward to welcoming you to our dynamic team."
Data Scientist Intern (m/w),Bertrandt Group,"Rabat, Rabat-Salé-Kénitra, Morocco","Workplace: 11000, Rabat  Apply online!  What to expect:  Conceptualization and implementation of data science projectsIntegration of new data sources and implementation of data preprocessingConducting statistical data analyses and data visualizations Development of algorithms, for example, for pattern/anomaly detection Utilizing LLMs for innovative solution creation for various problems, including the application of prompt engineering, output validation, and evaluation of results Designing and developing software solutions to apply these tasksOptimization, automation, and further development of existing applicationsAdvising internal and external colleagues in customer projectsCollaboration in interdisciplinary teams consisting of, for example, data scientists & engineers, system engineers, project managers   What you bring along:  Studies in data science, computer science, mathematics, natural sciences, or comparable fields of study or relevant professional trainingExcellent knowledge of Python and agile development of software and algorithmsGood knowledge in the field of machine learning (i.e. scikit-learn, Tensorflow, PyTorch) is requiredGood knowledge of statistics is an advantageExperience with LLMs and prompt engineering is an advantageProficiency in cloud and edge technologies, databases, and data processing methodsStrong communication and persuasion skills at both the operational level and in coordination with managementHigh proactivity and self-responsibilityFluent English skills   With more than 50 facilities in Europe, the Bertrandt Group has been providing development solutions for the international automotive and aircraft industry since 1974. Every day, more than 13 000 employees guarantee extensive know - how and support our client (Manufacturer and OEM) with management, design and industrialization solutions.  Bertrandt Technologie Morocco offers you opportunities in the automotive sector (body in white, interior and exterior, layout, powertrain, and electronics). Moreover, we are also present in interdisciplinary field such as project management, quality management, supply chain/industrialization and validations.  What we offer:  Responsible Tasks Mobile work Networking throughout the group Employee events    Contact:  Soumia Al Ouassaa  Tel.:"
Crypto Data Scientist / Machine Learning Engineer  (Morocco -Remote),Token Metrics,"Mechouar, Casablanca-Settat, Morocco","Token Metrics is searching for a highly capable machine learning engineer to optimize our machine learning systems. You will be evaluating existing machine learning (ML) processes, performing statistical analysis to resolve data set problems, and enhancing the accuracy of our AI software's predictive automation capabilities.  As a machine learning engineer, you should demonstrate solid data science knowledge and experience.  A first-class machine learning engineer will be someone whose expertise translates into the enhanced performance of predictive models.  Responsibilities  Consulting with the manager to determine and refine machine learning objectivesDesigning machine learning systems and self-running artificial intelligence (AI) to automate predictive modelsTransforming data science prototypes and applying appropriate ML algorithms and toolsEnsuring that algorithms generate accurate user recommendationsSolving complex problems with multi-layered data sets, as well as optimizing existing machine learning libraries and frameworksDeveloping ML algorithms to analyze huge volumes of historical data to make predictionsStress testing, performing statistical analysis, and interpreting test results for all market conditionsDocumenting machine learning processesKeeping abreast of developments in machine learning   Requirements  Bachelor's degree in computer science, data science, mathematics, or a related fieldMaster’s degree in computational linguistics, data science, data analytics, or similar will be advantageousAt least two years' experience as a machine learning engineerAdvanced proficiency with Python, Java, and R codeExtensive knowledge of ML frameworks, libraries, data structures, data modeling, and software architectureLLM fine-tuning experience and working with LLM ObservabilityIn-depth knowledge of mathematics, statistics, and algorithmsSuperb analytical and problem-solving abilitiesGreat communication and collaboration skillsExcellent time management and organizational abilities   About Token Metrics  Token Metrics helps crypto investors build profitable portfolios using artificial intelligence based crypto indices, rankings, and price predictions.  Token Metrics has a diverse set of customers, from retail investors and traders to crypto fund managers, in more than 50 countries."
Senior Data Scientist / Computer Vision,INNOVX,"Casablanca-Settat, Morocco","Subsidiary of the Mohammed VI Polytechnic University, Innov'X mission is to identify and develop innovative and technological businesses around the UM6P-OCP platforms, while also being open to the national ecosystem. The ambition is to work towards making the Moroccan ecosystem a reference for the transfer of innovation and scientific results towards high-performing businesses, some of which have a global impact or dimension.Innov'X is currently seeking a talented and creative senior data-scientists to join our team. In this role, you will be responsible for creating machine learning algorithms and analyses helping different business functions. You will collaborate closely with cross-functional teams, including product managers, developers, and stakeholders, to deliver exceptional user experiences that align with our business objectives and user needs. Responsibilities: Lead and manage data science projects. Provide guidance and mentorship to data scientists to ensure successful project completion and team growthWork closely with other department heads to identify opportunities for data-driven improvements and help shape business strategy accordinglyStay up-to-date with industry developments and advancements in data science and machine learning techniques, ensuring the company stays competitive and innovativeBuild and lead high-performing data science projects. Provide mentorship, coaching, and guidance to junior team members and creating a culture of continuous learning and improvement.Collaborate with Data Engineers, software engineers and Operations to deploy machine learning models into production environmentsDevelop and maintain relationships with external partners, such as research institutions or universities, to expand the company's data science capabilities and stay at the forefront of industry advancementLead efforts to automate data collection, data processing, and data visualization workflows, allowing for more efficient use of time and resources.Lead the Development and implementation of advanced image processing and machine learning algorithms for (satellite) image analysis, including parcel detection, segmentation, and classification.Collaborate with a multidisciplinary team of data scientists, engineers, and domain experts to design and develop innovative geospatial analytics solutions and integrate data driven model and analytics.Conduct research on the latest developments in machine learning and image analysis, remote sensing, to improve existing algorithms and develop new ones. Technical Skills & Tools:  Proficiency in Python (experience in other programming languages is a plus)Experience in SQL and no-SQL databasesGood mastery of main machine learning tools : Scikit-learn, pandas, scipy, keras, Tensorflow/Pytorch…Experience in designing and developing machine learning models and algorithmsStrong knowledge of statistical and machine learning techniques such as regression, clustering, decision trees, neural networks, and time series forecastingExperience with data visualization tools such as Tableau or Power BI is a plusExperience with data processing tools such as Apache Spark, Hadoop, or Hive would be a plusKnowledge of computer vision techniques would be a plus Familiarity with cloud platforms such as Azure, AWS or Google is a plus Profile requirements: Master's or PhD in Computer Science, Statistics, Mathematics, or a related field from a top engineering school (EMI, ENSIAS, or equivalent) or university.3+ years of experience in data science or a related field.Strong programming skills in Python with experience in using relevant libraries and frameworks (e.g., TensorFlow, PyTorch, OpenCV, GDAL).Experience with SQL, No-SQL and working with large data sets.Knowledge of machine learning techniques such as regression, classification, clustering, and deep learning.Strong problem-solving and analytical skills.Excellent communication and collaboration skills.Ability to work independently and in a team environment.A relevant experience in image processing, remote sensing is highly desirableKnowledge of big data technologies such as Hadoop, Spark, or Hive and data visualization tools such as Tableau, PowerBI, or D3.js is a plus"
Data Scientist Senior - SoGé (H/F),Société Générale Maroc,"Casablanca-Settat, Morocco","Rattaché au Responsable de la MarTech, le Data Scientist est en charge de concevoir, développer et améliorer des modèles analytiques pour créer de la valeur ajoutée pour les métiers et aider la banque dans ses prises de décision. A ce titre, il prend en charge les activités suivantes :Extraction et structuration des donnéesÉlaboration des algorithmes d’intelligence artificielleIndustrialisation des modèles d’intelligence artificielle dans les applicationsParticipation active aux projetsVeille technologique sur les outils de data science Les missions :  Extraction et structuration des donnéesExtraire les données nécessaires à l’analyse (Web scraping, API…).Définir des règles de gestion de nettoyage des bases de données (formatage, suppression des doublons…).Définir des règles de gestion de structuration des différentes bases de données entre elles.Écrire et rédiger les spécifications d’automatisation des règles de gestion à la DSI ou à la maîtrise d’ouvrage.Maîtriser la qualité des données tout au long de leur traitement.Déterminer ou construire les variables importantes à introduire dans les modèles statistiques.Élaboration des algorithmes d’intelligence artificielleAnalyser les données en utilisant des méthodes statistiques classiques.Créer et tester des algorithmes d’apprentissage automatique (machine learning, deep learning…).Construire les données d’entraînement des modèles.Réaliser une amélioration continue des modèles.Industrialisation des modèles d’intelligence artificielle dans les applicationsIndustrialiser les modèles d’apprentissage automatique et des modèles statistiques.Prendre part aux vérifications lors des mises en production (recette).Définir les règles de gestion pour la maintenance des modèles (monitoring).Participation active aux projetsParticiper aux ateliers d’expression des besoins internes.Comprendre précisément les problématiques métiers et les traduire de manière analytique.Communiquer les résultats et les solutions avec les équipes métiers.Veille technologique sur les outils de data scienceEffectuer une veille sur les nouvelles technologies et solutions logicielles de data science.Rechercher et expérimenter de nouvelles méthodes de modélisation et de data science. Profil :  Formation : Bac +5 en ingénierie, mathématiques, statistiques, informatique ou équivalent.Expérience : Minimum 3 - 5 ans d’expérience en data science avec une solide connaissance des outils de machine learning et d'analyse de données.Compétences techniques : Maîtrise des langages de programmation (Python, R), des frameworks de machine learning (TensorFlow, scikit-learn) et des bases de données (SQL).Compétences en communication : Capacité à expliquer des concepts techniques à un public non-technique et à travailler en équipe."
Data Scientist - Oracle Labs,Oracle,"Mechouar, Casablanca-Settat, Morocco","Job Description  Data Scientist - Oracle Labs  Location: Casablanca (onsite)  MSc degree in Computer Science, Data Science, Machine Learning, or a related technical field or equivalent practical experience5+ years of hands-on software development in data science, machine learning, or AI, with proven expertise in coding and system design. Demonstrated work in Generative AI and AI Agents is an important plus.Experience using deep learning toolkits in Python like Tensorflow, Torch, or KerasExperience in formulating analytical problems into actionable research and applying advanced machine learning techniques for problem solvingWorking proficiency in verbal and written EnglishAbility to articulate complex technical topics clearly and concisely to both technical and non-technical audiences. A drive to solve hard problems at scaleThorough understanding of CS fundamentals including data structures, algorithms and complexity analysis    Key Requirements  PhD degree in Computer Science or Machine Learning or related technical field, or equivalent practical experience.Distinguished problem-solving skills.Strong presentation and stakeholder management capabilities to align technical objectives with business goals.Deep comprehension of the importance of teamwork and demonstrated ability to work with and guide collaborative, high-performing teams.Experience with Cloud platforms like OCI, AWS or Azure.Familiarity with containerization and orchestration tools such as Docker and Kubernetes.Commitment to fostering a culture of teamwork, innovation, and continuous improvement.   Career Level - IC3  Responsibilities  As a member of the software engineering division, you will assist in defining and developing software for tasks associated with the developing, debugging or designing of software applications or operating systems. Provide technical leadership to other software developers. Specify, design and implement modest changes to existing software architecture to meet changing needs.  About Us  As a world leader in cloud solutions, Oracle uses tomorrow’s technology to tackle today’s problems. True innovation starts with diverse perspectives and various abilities and backgrounds.  When everyone’s voice is heard, we’re inspired to go beyond what’s been done before. It’s why we’re committed to expanding our inclusive workforce that promotes diverse insights and perspectives.  We’ve partnered with industry-leaders in almost every sector—and continue to thrive after 40+ years of change by operating with integrity.  Oracle careers open the door to global opportunities where work-life balance flourishes. We offer a highly competitive suite of employee benefits designed on the principles of parity and consistency. We put our people first with flexible medical, life insurance and retirement options. We also encourage employees to give back to their communities through our volunteer programs.  We’re committed to including people with disabilities at all stages of the employment process. If you require accessibility assistance or accommodation for a disability at any point, let us know by calling +1 888 404 2494, option one.  Disclaimer:  Oracle is an Equal Employment Opportunity Employer*. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans’ status, or any other characteristic protected by law. Oracle will consider for employment qualified applicants with arrest and conviction records pursuant to applicable law.   Which includes being a United States Affirmative Action Employer"
Senior Data Scientist - Casablanca,Artefact,"Casablanca, Casablanca-Settat, Morocco","Who we are ?  Artefact is a new generation of a data service provider, specialising in data consulting and data-driven digital marketing, dedicated to transforming data into business impact across the entire value chain of organisations. We are proud to say we’re enjoying skyrocketing growth.  Our broad range of data-driven solutions in data consulting and digital marketing are designed to meet our clients’ specific needs, always conceived with a business-centric approach and delivered with tangible results. Our data-driven services are built upon the deep AI expertise we’ve acquired with our 1000+ client base around the globe.  We have 850 employees across 20 offices who are focused on accelerating digital transformation. Thanks to a unique mix of company assets: State of the art data technologies, lean AI agile methodologies for fast delivery, and cohesive teams of the finest business consultants, data analysts, data scientists, data engineers, and digital experts, all dedicated to bringing extra value to every client.  Over the last few years, Data Science at Artefact Morocco has skyrocketed in terms of novel projects coupled with a growing diverse team. We tackle use cases that bring business value and serve different countries. Our area of expertise involves Applied Mathematics & Statistics for Machine Learning and Deep Learning, with a recently strong focus on Generative AI.  Responsibilities : In addition to the core Data Science and ML Engineering Team, you will work with different stakeholders to:  Qualify the feasibility of Use Cases, translating business challenges into technical formulationsDefine the business and statistical hypothesis, and build the solution followed by testing and validationFor those Use Cases that are validated, you will help develop a production-ready solution.  When Consulted On a Business Challenge, You Propose Adequate AI Or Machine Learning Options To Address This Need. You Act As An Expert On The Best Algorithm To Choose Given The Specific Context And Constraints. You Are a Key Contributor To The Design Of The Solution. You Develop Data Visualisation Features To Generate Insights And Support Data Storytelling. You Iterate With The Business In An Agile Way To Develop, Adapt And Refine The Solution To Enable Maximum Business Impact. You Design, Build, Maintain, And Troubleshoot The Data Models Integrated Into The Solutions Delivered  Assess the quality of the data; clean and aggregate when necessaryCompare and choose the right algorithms based on defining the right statistical hypothesisDevelop and train modelsFollow principles of MLOps when moving models to productionsTroubleshoot the models in production  Profile Minimum Requirements  Must have at least 3 years of prior Data Science experienceVERY Proficient in PythonHas a Master's degree in Applied Mathematics, Advanced Statistics, and Data Science or a related disciplineExcellent interpersonal and communication skillsStrong knowledge of data science algorithms and at least one proven experience in developing Statistical and ML algorithmsIdeally Fluent in English  Preferred Requirements  Preferred experience in Consulting;Preferred experience in Cloud Technologies;Good knowledge of Spark;Good knowledge of MLOps principles.  Come join us !"
Data Visualization Engineer,Braintrust,EMEA,"Job Description  Role Summary:  We are seeking a technically proficient Data Visualization Engineer to transform complex data sets into interactive, dynamic web experiences. In this role, you will focus on coding robust, performance-optimized visualizations that inform and engage users.  You will collaborate closely with internal creative team to ensure that data insights are accurately represented through elegant, intuitive interfaces.  To Note: This is an immediate project need. Project is approved for 3-months, with potential to be extended based on project demands.*  Responsibilities:  Data-Driven Visualizations: Build interactive charts, maps, and advanced data visuals using JavaScript libraries such as D3.js, Three.js, and p5.js.Front-End Development: Implement animations and interactions using HTML/CSS, SVG, and WebGL to ensure smooth performance across devices.Data Integration: Work closely with analysts to ingest, transform, and interpret raw data, ensuring accurate and meaningful visual outputs.Performance Optimization: Continuously refine code for responsiveness, load times, and overall performance, applying best practices in web optimization.Collaboration: Partner with internal creative team to integrate visual assets and narrative elements into a cohesive product.Testing & Quality Assurance: Test interactive components thoroughly for usability, compatibility, and responsiveness before deployment.  Requirements:  Education: Bachelor’s in Computer Science, Data Science, or a related field—or equivalent experience.Experience: 5+ years in data visualization engineering, front-end development, or creative coding.Technical Skills: Advanced proficiency in JavaScript (D3.js, Three.js, p5.js), HTML/CSS, and SVG animation. Familiarity with Python or R for data handling is a plus.Analytical Mindset: Ability to translate raw data into coherent visual forms with minimal guidance.Collaboration: Comfortable working remotely with cross-functional teams."
